layer,seed,id,length_bucket,distractor_level,seq_len,max_token_prob,second_max_token_prob,num_tokens_above_threshold,diagnostic_threshold
12,0,test_16384_1_000078,16384,1,16070,1.0,1.0,11,0.9
12,0,test_16384_1_000079,16384,1,16059,1.0,0.9999936819076538,6,0.9
12,0,test_16384_4_000084,16384,4,16090,1.0,1.0,34,0.9
12,0,test_16384_4_000085,16384,4,16086,1.0,1.0,24,0.9
12,0,test_16384_4_000086,16384,4,16094,1.0,1.0,20,0.9
12,0,test_16384_4_000087,16384,4,16102,1.0,1.0,31,0.9
12,0,test_16384_8_000092,16384,8,16090,1.0,1.0,29,0.9
12,0,test_16384_8_000093,16384,8,16094,1.0,1.0,31,0.9
12,0,test_16384_8_000094,16384,8,16067,1.0,1.0,58,0.9
12,0,test_16384_8_000095,16384,8,16083,1.0,1.0,33,0.9
16,0,test_2048_0_000004,2048,0,2022,1.0,1.0,2,0.9
16,0,test_2048_0_000005,2048,0,2059,1.0,1.0,4,0.9
16,0,test_2048_0_000006,2048,0,2038,1.0,0.9998341798782349,4,0.9
16,0,test_2048_0_000007,2048,0,2027,1.0,0.9999994039535522,3,0.9
16,0,test_2048_1_000012,2048,1,2030,1.0,1.0,2,0.9
16,0,test_2048_1_000013,2048,1,2030,1.0,1.0,6,0.9
16,0,test_2048_1_000014,2048,1,2044,1.0,1.0,5,0.9
16,0,test_2048_1_000015,2048,1,2008,1.0,1.0,11,0.9
16,0,test_2048_4_000020,2048,4,2013,1.0,1.0,23,0.9
16,0,test_2048_4_000021,2048,4,2029,1.0,1.0,11,0.9
16,0,test_2048_4_000022,2048,4,2054,1.0,1.0,26,0.9
16,0,test_2048_4_000023,2048,4,2052,1.0,1.0,15,0.9
16,0,test_2048_8_000028,2048,8,2042,1.0,1.0,17,0.9
16,0,test_2048_8_000029,2048,8,2039,1.0,1.0,21,0.9
16,0,test_2048_8_000030,2048,8,2019,1.0,1.0,9,0.9
16,0,test_2048_8_000031,2048,8,2023,1.0,1.0,23,0.9
16,0,test_8192_0_000036,8192,0,8035,1.0,1.0,4,0.9
16,0,test_8192_0_000037,8192,0,8052,1.0,0.9999998807907104,3,0.9
16,0,test_8192_0_000038,8192,0,8066,1.0,0.7415543794631958,1,0.9
16,0,test_8192_0_000039,8192,0,8057,0.9397183060646057,0.16957306861877441,1,0.9
16,0,test_8192_1_000044,8192,1,8064,0.8354058861732483,0.6372401118278503,0,0.9
16,0,test_8192_1_000045,8192,1,8080,1.0,1.0,10,0.9
16,0,test_8192_1_000046,8192,1,8036,0.9999972581863403,0.9871394038200378,2,0.9
16,0,test_8192_1_000047,8192,1,8070,1.0,0.9999998807907104,4,0.9
16,0,test_8192_4_000052,8192,4,8075,1.0,1.0,20,0.9
16,0,test_8192_4_000053,8192,4,8075,1.0,1.0,20,0.9
16,0,test_8192_4_000054,8192,4,8042,1.0,1.0,10,0.9
16,0,test_8192_4_000055,8192,4,8074,1.0,1.0,12,0.9
16,0,test_8192_8_000060,8192,8,8045,1.0,1.0,20,0.9
16,0,test_8192_8_000061,8192,8,8075,1.0,1.0,17,0.9
16,0,test_8192_8_000062,8192,8,8052,1.0,1.0,21,0.9
16,0,test_8192_8_000063,8192,8,8066,1.0,1.0,17,0.9
16,0,test_16384_0_000068,16384,0,16058,1.0,1.0,2,0.9
16,0,test_16384_0_000069,16384,0,16086,1.0,0.9999998807907104,4,0.9
16,0,test_16384_0_000070,16384,0,16088,0.9996737241744995,0.9284655451774597,2,0.9
16,0,test_16384_0_000071,16384,0,16082,0.9999984502792358,0.9999974966049194,3,0.9
16,0,test_16384_1_000076,16384,1,16099,1.0,1.0,7,0.9
16,0,test_16384_1_000077,16384,1,16102,1.0,1.0,9,0.9
16,0,test_16384_1_000078,16384,1,16070,1.0,1.0,12,0.9
16,0,test_16384_1_000079,16384,1,16059,0.9893564581871033,0.08852694183588028,1,0.9
16,0,test_16384_4_000084,16384,4,16090,1.0,1.0,31,0.9
16,0,test_16384_4_000085,16384,4,16086,1.0,1.0,16,0.9
16,0,test_16384_4_000086,16384,4,16094,1.0,1.0,22,0.9
16,0,test_16384_4_000087,16384,4,16102,1.0,1.0,28,0.9
16,0,test_16384_8_000092,16384,8,16090,1.0,1.0,24,0.9
16,0,test_16384_8_000093,16384,8,16094,1.0,1.0,21,0.9
16,0,test_16384_8_000094,16384,8,16067,1.0,1.0,46,0.9
16,0,test_16384_8_000095,16384,8,16083,1.0,1.0,20,0.9
20,0,test_2048_0_000004,2048,0,2022,0.9973216652870178,0.9781548380851746,2,0.9
20,0,test_2048_0_000005,2048,0,2059,1.0,0.9999998807907104,3,0.9
20,0,test_2048_0_000006,2048,0,2038,1.0,0.9977988600730896,4,0.9
20,0,test_2048_0_000007,2048,0,2027,1.0,2.8097410904592834e-06,1,0.9
20,0,test_2048_1_000012,2048,1,2030,1.0,0.9999986886978149,2,0.9
20,0,test_2048_1_000013,2048,1,2030,1.0,1.0,4,0.9
20,0,test_2048_1_000014,2048,1,2044,1.0,1.0,8,0.9
20,0,test_2048_1_000015,2048,1,2008,1.0,0.9998124241828918,2,0.9
20,0,test_2048_4_000020,2048,4,2013,1.0,1.0,8,0.9
20,0,test_2048_4_000021,2048,4,2029,1.0,1.0,17,0.9
20,0,test_2048_4_000022,2048,4,2054,1.0,1.0,26,0.9
20,0,test_2048_4_000023,2048,4,2052,1.0,1.0,13,0.9
20,0,test_2048_8_000028,2048,8,2042,1.0,1.0,19,0.9
20,0,test_2048_8_000029,2048,8,2039,1.0,1.0,13,0.9
20,0,test_2048_8_000030,2048,8,2019,1.0,1.0,8,0.9
20,0,test_2048_8_000031,2048,8,2023,1.0,1.0,21,0.9
20,0,test_8192_0_000036,8192,0,8035,0.999976634979248,0.9961508512496948,2,0.9
20,0,test_8192_0_000037,8192,0,8052,1.0,0.10008165240287781,1,0.9
20,0,test_8192_0_000038,8192,0,8066,1.0,0.006453896872699261,1,0.9
20,0,test_8192_0_000039,8192,0,8057,0.9999890327453613,1.6358606136357423e-10,1,0.9
20,0,test_8192_1_000044,8192,1,8064,1.0,1.0,3,0.9
20,0,test_8192_1_000045,8192,1,8080,1.0,0.9999997615814209,2,0.9
20,0,test_8192_1_000046,8192,1,8036,1.0,1.0,3,0.9
20,0,test_8192_1_000047,8192,1,8070,1.0,0.9999964237213135,5,0.9
20,0,test_8192_4_000052,8192,4,8075,1.0,1.0,19,0.9
20,0,test_8192_4_000053,8192,4,8075,1.0,1.0,13,0.9
20,0,test_8192_4_000054,8192,4,8042,1.0,1.0,16,0.9
20,0,test_8192_4_000055,8192,4,8074,1.0,1.0,6,0.9
20,0,test_8192_8_000060,8192,8,8045,1.0,1.0,17,0.9
20,0,test_8192_8_000061,8192,8,8075,1.0,1.0,21,0.9
20,0,test_8192_8_000062,8192,8,8052,1.0,1.0,27,0.9
20,0,test_8192_8_000063,8192,8,8066,1.0,1.0,13,0.9
20,0,test_16384_0_000068,16384,0,16058,1.0,1.0,4,0.9
20,0,test_16384_0_000069,16384,0,16086,1.0,1.0,3,0.9
20,0,test_16384_0_000070,16384,0,16088,0.9834200143814087,0.00680816313251853,1,0.9
20,0,test_16384_0_000071,16384,0,16082,1.0,1.4199828868299846e-08,1,0.9
20,0,test_16384_1_000076,16384,1,16099,1.0,1.0,4,0.9
20,0,test_16384_1_000077,16384,1,16102,1.0,1.0,4,0.9
20,0,test_16384_1_000078,16384,1,16070,1.0,1.0,13,0.9
20,0,test_16384_1_000079,16384,1,16059,0.3181660771369934,0.007566562853753567,0,0.9
20,0,test_16384_4_000084,16384,4,16090,1.0,1.0,20,0.9
20,0,test_16384_4_000085,16384,4,16086,1.0,1.0,12,0.9
20,0,test_16384_4_000086,16384,4,16094,1.0,1.0,15,0.9
